# ----------------------------------------
# All Web Site Data
# Pages
# 20130101-20220720
# ----------------------------------------

Page,Page Views,Unique Page Views,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
/webstore,"6,417,164","5,370,570",00:01:02,"4,996,018",56.07%,53.57%,US$0.00
/home,"5,249,030","3,952,319",00:01:16,"2,768,829",60.66%,50.28%,US$0.00
/extensions,"5,013,903","3,922,748",00:01:13,"2,574,044",66.37%,46.35%,US$0.00
/extensions/getstarted,"4,908,587","3,758,061",00:03:26,"2,690,830",58.34%,45.10%,US$0.00
/,"4,389,655","2,837,038",00:00:44,"1,391,092",53.63%,39.01%,US$0.00
/devtools/docs/remote-debugging,"4,235,304","3,290,373",00:03:30,"3,034,615",77.43%,70.64%,US$0.00
/apps/getstarted_arc,"4,034,490","2,863,964",00:03:16,"2,693,592",69.33%,65.47%,US$0.00
/devtools,"3,585,609","3,166,453",00:02:41,"2,886,054",82.52%,77.43%,US$0.00
/docs/devtools/network/reference/,"3,309,204","2,959,457",00:04:55,"2,862,082",90.21%,87.42%,US$0.00
/devsummit/,"3,273,951","2,323,899",00:01:12,"2,243,077",72.89%,65.29%,US$0.00
/docs/devtools/,"3,168,064","2,458,883",00:00:56,"1,971,247",53.85%,44.04%,US$0.00
/extensions/samples,"2,754,338","1,607,074",00:02:35,"453,191",53.68%,29.40%,US$0.00
/docs/devtools/network/,"2,653,824","2,389,146",00:03:10,"2,290,129",88.51%,84.46%,US$0.00
/extensions/tabs,"2,460,160","1,626,461",00:03:59,"990,896",62.16%,43.43%,US$0.00
/apps/about_apps,"2,437,767","1,836,012",00:01:11,"715,924",64.29%,37.91%,US$0.00
/blog/new-in-devtools-96/,"2,419,754","2,078,060",00:02:07,"2,059,782",88.59%,82.38%,US$0.00
/blog/new-in-devtools-90/,"2,264,347","1,891,536",00:02:05,"1,869,822",87.75%,81.05%,US$0.00
/extensions/downloads,"2,236,109","2,025,596",00:02:53,"1,940,678",90.15%,85.76%,US$0.00
/docs/webstore/,"2,180,545","1,672,765",00:00:59,"1,399,432",65.53%,56.42%,US$0.00
/extensions/content_scripts,"2,136,091","1,594,941",00:03:57,"905,476",63.54%,45.67%,US$0.00
/extensions/api_index,"2,071,250","1,478,973",00:01:25,"706,530",42.74%,26.84%,US$0.00
/multidevice/data-compression,"2,067,823","1,762,883",00:00:55,"1,715,920",79.52%,76.18%,US$0.00
/extensions/manifest,"1,842,313","1,292,296",00:01:42,"565,525",47.21%,28.88%,US$0.00
/docs/,"1,786,676","1,163,280",00:00:22,"54,689",41.41%,14.60%,US$0.00
/extensions/overview,"1,720,706","1,331,350",00:02:04,"344,483",54.15%,28.67%,US$0.00
/blog/new-in-devtools-100/,"1,712,844","1,436,058",00:01:49,"1,425,138",86.50%,79.81%,US$0.00
/blog/new-in-devtools-97/,"1,707,986","1,436,994",00:02:01,"1,423,778",87.68%,80.55%,US$0.00
/devtools/docs/device-mode,"1,695,296","1,429,037",00:03:12,"1,295,674",81.77%,76.01%,US$0.00
/blog/new-in-devtools-89/,"1,619,328","1,358,660",00:02:11,"1,333,995",87.81%,81.16%,US$0.00
/blog/new-in-devtools-91/,"1,563,784","1,308,547",00:01:59,"1,291,216",88.62%,81.35%,US$0.00
/blog/new-in-devtools-99/,"1,493,813","1,275,083",00:01:59,"1,265,423",88.45%,82.19%,US$0.00
/docs/devtools/workspaces/,"1,470,612","1,330,722",00:02:57,"1,265,751",85.46%,81.82%,US$0.00
/blog/new-in-devtools-94/,"1,467,625","1,211,941",00:02:00,"1,192,021",86.76%,78.49%,US$0.00
/blog/new-in-devtools-98/,"1,422,605","1,209,255",00:02:02,"1,194,421",88.40%,81.91%,US$0.00
/extensions/devguide,"1,417,481","1,020,939",00:01:12,"430,729",35.83%,21.73%,US$0.00
/native-client,"1,392,451","1,189,443",00:01:29,"921,701",65.68%,54.21%,US$0.00
/devtools/docs/network,"1,389,781","1,236,337",00:03:45,"1,097,211",89.19%,82.18%,US$0.00
/blog/new-in-devtools-102/,"1,270,355","1,071,307",00:01:58,"1,064,354",87.90%,80.90%,US$0.00
/blog/new-in-devtools-95/,"1,255,955","1,089,080",00:02:08,"1,075,544",89.16%,83.65%,US$0.00
/devtools/docs/console,"1,247,283","1,129,128",00:02:28,"975,467",80.57%,74.81%,US$0.00
/extensions/history,"1,236,764","1,061,166",00:02:39,"1,011,515",84.91%,79.73%,US$0.00
/extensions/browserAction,"1,234,023","895,575",00:02:59,"330,242",54.19%,32.07%,US$0.00
/extensions/messaging,"1,203,867","898,200",00:03:55,"529,930",59.64%,44.40%,US$0.00
/blog/new-in-devtools-101/,"1,202,448","1,016,153",00:01:56,"1,008,413",87.02%,80.37%,US$0.00
/devtools/docs/javascript-debugging,"1,200,569","1,064,746",00:03:09,"892,970",83.06%,76.52%,US$0.00
/extensions/xhr,"1,192,776","1,068,519",00:04:10,"907,910",85.59%,76.07%,US$0.00
/extensions/cookies,"1,164,044","974,011",00:04:18,"910,446",82.46%,76.03%,US$0.00
/docs/devtools/open/,"1,136,530","946,337",00:01:24,"245,061",75.90%,51.18%,US$0.00
/docs/extensions/reference/,"1,078,031","769,352",00:01:22,"493,620",49.24%,32.43%,US$0.00
/webstore/publish,"1,073,398","890,653",00:02:58,"620,647",68.73%,59.72%,US$0.00
/apps/first_app,"1,044,933","794,485",00:02:37,"520,879",56.16%,42.88%,US$0.00
/extensions/npapi,"1,039,898","902,421",00:02:50,"849,230",84.03%,80.82%,US$0.00
/extensions/runtime,"1,023,895","715,777",00:03:22,"294,783",57.04%,37.07%,US$0.00
/docs/extensions/,"1,002,247","747,800",00:00:49,"377,008",55.85%,34.82%,US$0.00
/multidevice/webview/overview,"1,000,330","802,285",00:01:48,"591,665",71.26%,57.72%,US$0.00
/docs/extensions/mv3/getstarted/,"988,299","733,642",00:03:45,"492,524",65.27%,47.29%,US$0.00
/multidevice/user-agent,"977,782","864,176",00:02:56,"776,950",86.98%,80.33%,US$0.00
/blog/new-in-devtools-92/,"960,146","806,231",00:02:09,"783,838",87.91%,80.24%,US$0.00
/extensions/background_pages,"943,431","729,608",00:03:18,"337,911",55.39%,35.20%,US$0.00
/extensions/storage,"924,780","715,193",00:04:22,"491,750",70.42%,55.89%,US$0.00
/docs/devtools/remote-debugging/,"908,563","767,704",00:04:49,"696,569",83.46%,79.48%,US$0.00
/multidevice/webview/gettingstarted,"906,368","811,349",00:04:16,"669,088",86.13%,77.85%,US$0.00
/blog/new-in-devtools-93/,"904,797","757,592",00:02:09,"745,696",88.04%,80.71%,US$0.00
/apps/experimental,"881,633","619,825",00:02:15,"596,189",70.46%,63.29%,US$0.00
/blog/new-in-devtools-103/,"863,423","739,415",00:02:03,"735,287",88.32%,82.30%,US$0.00
/docs/devtools/storage/cookies/,"824,264","732,095",00:02:09,"695,343",84.47%,80.02%,US$0.00
/extensions/proxy,"807,932","707,336",00:03:06,"664,256",87.19%,81.22%,US$0.00
/extensions/webRequest,"797,182","597,915",00:04:29,"418,166",69.48%,54.70%,US$0.00
/extensions/match_patterns,"782,885","658,831",00:03:58,"469,170",79.70%,63.98%,US$0.00
/multidevice/android/installtohomescreen,"776,948","662,097",00:03:42,"612,365",84.76%,79.34%,US$0.00
/devtools/docs/shortcuts,"775,379","690,290",00:02:50,"620,510",83.31%,78.16%,US$0.00
/multidevice/android/customtabs,"772,103","642,173",00:03:29,"568,489",82.52%,75.52%,US$0.00
/docs/webstore/program_policies/,"761,387","633,576",00:01:25,"574,605",67.65%,62.51%,US$0.00
/apps/api_index,"731,962","524,162",00:01:18,"179,362",44.28%,25.70%,US$0.00
/docs/extensions/reference/tabs/,"723,630","466,942",00:03:49,"284,554",60.25%,41.29%,US$0.00
/extensions/contentSecurityPolicy,"671,723","577,678",00:04:17,"444,625",79.34%,67.66%,US$0.00
/extensions/tut_debugging,"659,319","571,929",00:03:11,"354,822",70.86%,55.54%,US$0.00
/extensions/themes,"627,180","527,283",00:01:41,"417,719",80.19%,68.85%,US$0.00
/multidevice/android/intents,"620,060","519,114",00:03:34,"444,687",82.07%,73.64%,US$0.00
/extensions/windows,"608,756","450,726",00:03:42,"272,857",67.80%,47.55%,US$0.00
/extensions/declare_permissions,"603,959","468,215",00:02:18,"148,380",50.00%,31.26%,US$0.00
/extensions/extension,"583,944","458,568",00:02:29,"261,338",64.22%,42.81%,US$0.00
/apps/chrome_apps_on_mobile,"581,466","412,431",00:01:31,"100,948",73.48%,36.54%,US$0.00
/multidevice/android/overview,"575,280","426,581",00:01:13,"129,883",71.38%,43.21%,US$0.00
/webstore/terms,"573,554","467,921",00:01:25,"401,641",64.64%,57.93%,US$0.00
/extensions/contentSettings,"556,992","482,039",00:02:51,"431,740",85.59%,77.18%,US$0.00
/blog/,"543,761","396,554",00:00:34,"51,561",52.37%,24.98%,US$0.00
/webstore/get_started_simple,"519,343","435,488",00:02:06,"276,339",57.53%,48.15%,US$0.00
/extensions/pageAction,"509,362","384,495",00:02:49,"144,640",57.66%,30.84%,US$0.00
/webstore/program_policies,"502,250","416,628",00:01:40,"340,289",62.79%,58.01%,US$0.00
/extensions/devtools,"500,253","387,992",00:02:10,"228,126",58.41%,43.10%,US$0.00
/100/,"494,788","436,668",00:01:47,"398,763",89.26%,83.00%,US$0.00
/blog/autoplay/,"483,241","403,823",00:05:15,"393,247",84.84%,81.71%,US$0.00
/native-client/sdk/download,"483,234","373,959",00:02:19,"101,156",65.30%,47.49%,US$0.00
/extensions/hosting,"473,628","342,261",00:01:22,"113,486",55.71%,34.39%,US$0.00
/apps/notifications,"467,619","380,135",00:03:29,"317,213",71.31%,61.65%,US$0.00
/multidevice,"464,951","321,098",00:00:41,"28,041",52.29%,22.70%,US$0.00
/devtools/docs/dom-and-styles,"464,465","381,928",00:01:51,"142,771",78.56%,49.88%,US$0.00
/apps/migration,"422,386","336,189",00:01:34,"100,942",80.36%,53.46%,US$0.00
/docs/devtools/shortcuts/,"416,323","354,392",00:02:13,"309,769",66.99%,61.05%,US$0.00
/devsummit/remote/,"414,380","330,051",00:01:31,"310,619",79.58%,72.70%,US$0.00
/docs/devtools/storage/cache/,"414,349","373,577",00:02:37,"346,527",83.69%,79.76%,US$0.00
/extensions/event_pages,"414,196","328,789",00:02:22,"81,644",47.54%,25.34%,US$0.00
/apps/npapi,"412,607","350,516",00:03:07,"342,566",83.84%,81.56%,US$0.00
/docs/devtools/device-mode/,"411,944","360,424",00:02:47,"279,903",84.52%,71.72%,US$0.00
/extensions/omnibox,"411,376","352,628",00:02:34,"301,549",82.13%,70.48%,US$0.00
/docs/devtools/javascript/,"409,802","371,035",00:03:55,"287,269",83.68%,74.42%,US$0.00
/docs/extensions/reference/runtime/,"408,197","273,002",00:03:35,"128,574",55.52%,36.22%,US$0.00
/apps/storage,"406,263","321,729",00:04:37,"211,123",70.67%,54.95%,US$0.00
/extensions/faq,"403,913","345,367",00:01:48,"240,406",74.95%,60.14%,US$0.00
/docs/devtools/storage/localstorage/,"402,909","369,918",00:02:45,"332,779",87.09%,81.18%,US$0.00
/extensions/external_extensions,"402,039","336,566",00:02:42,"226,399",71.56%,57.03%,US$0.00
/docs/extensions/mv3/content_scripts/,"400,302","290,676",00:03:51,"155,106",63.09%,42.88%,US$0.00
/devtools/docs/remote-debugging?csw=1,"397,529","305,229",00:02:38,"300,478",75.51%,69.25%,US$0.00
/docs/devtools/javascript/sources/,"389,444","339,912",00:02:42,"311,499",84.20%,75.93%,US$0.00
/docs/webstore/terms/,"388,379","310,450",00:01:12,"261,361",56.64%,51.12%,US$0.00
/docs/extensions/reference/storage/,"380,542","275,739",00:04:37,"185,583",68.82%,52.74%,US$0.00
/devtools/docs/console-api,"379,189","330,765",00:01:56,"186,821",78.74%,59.38%,US$0.00
/devtools/index,"374,875","327,832",00:02:16,"235,577",77.78%,65.94%,US$0.00
/extensions/options,"374,344","312,978",00:02:39,"188,965",69.17%,48.04%,US$0.00
/webstore/inline_installation,"373,984","325,719",00:02:58,"228,000",75.71%,64.35%,US$0.00
/apps/samples,"373,427","301,422",00:01:42,"38,160",53.96%,34.82%,US$0.00
/apps/manifest,"371,581","273,945",00:01:41,"104,417",52.02%,30.87%,US$0.00
/apps/app_identity,"369,950","311,361",00:03:29,"236,615",76.26%,64.58%,US$0.00
/docs/devtools/overview/,"367,883","295,010",00:01:47,"58,894",68.95%,37.76%,US$0.00
/extensions/bookmarks,"365,886","298,253",00:02:53,"224,043",79.41%,62.56%,US$0.00
/devtools/docs/tips-and-tricks,"359,148","327,039",00:03:02,"227,731",81.78%,71.69%,US$0.00
/docs/extensions/reference/downloads/,"355,121","300,726",00:02:21,"278,438",81.00%,74.45%,US$0.00
/extensions/getstarted.html,"354,827","287,964",00:03:08,"179,043",53.99%,42.81%,US$0.00
/extensions/contextMenus,"354,586","250,418",00:03:16,"151,385",59.06%,40.57%,US$0.00
/webstore/faq,"354,434","294,337",00:02:04,"220,840",66.79%,58.89%,US$0.00
/docs/extensions/mv3/intro/,"351,117","271,835",00:00:52,"70,074",33.18%,15.81%,US$0.00
/extensions/override,"349,586","294,801",00:01:53,"171,793",67.47%,46.94%,US$0.00
/apps/offline_storage,"345,719","305,612",00:03:08,"274,952",84.68%,79.26%,US$0.00
/apps/app_frameworks,"334,887","297,233",00:02:30,"222,320",86.72%,70.04%,US$0.00
/docs/devtools/coverage/,"332,028","277,879",00:02:22,"242,024",70.01%,63.88%,US$0.00
/apps/app_usb,"329,395","269,391",00:01:54,"154,552",71.31%,49.71%,US$0.00
/docs/extensions/mv3/intro/mv3-migration/,"327,633","225,870",00:02:52,"87,377",50.54%,29.51%,US$0.00
/extensions/samples.html,"321,606","160,199",00:02:10,"42,529",50.82%,24.99%,US$0.00
/docs/devtools/css/,"320,231","271,954",00:02:55,"107,739",79.17%,48.93%,US$0.00
/extensions/tut_migration_to_manifest_v2,"316,762","255,320",00:01:14,"47,299",63.32%,25.24%,US$0.00
/devsummit,"314,159","160,797",00:01:39,"153,901",37.55%,43.77%,US$0.00
/extensions/nativeMessaging,"313,253","250,641",00:03:27,"145,425",70.55%,54.02%,US$0.00
/extensions/index.html,"312,510","255,625",00:01:10,"210,681",53.97%,47.47%,US$0.00
/devtools/docs/workspaces,"312,002","281,000",00:03:06,"229,346",87.56%,77.35%,US$0.00
/extensions/activeTab,"311,135","246,013",00:02:22,"70,281",49.77%,26.07%,US$0.00
/multidevice/faq,"304,787","260,253",00:01:26,"210,469",74.48%,67.54%,US$0.00
/devtools/docs/javascript-memory-profiling,"302,700","245,661",00:03:23,"190,630",72.23%,64.09%,US$0.00
/docs/devtools/recorder/,"292,584","249,153",00:02:46,"211,189",82.78%,73.96%,US$0.00
/docs/extensions/mv3/manifest/,"289,768","198,954",00:01:49,"81,787",43.94%,26.46%,US$0.00
/docs/devtools/javascript/disable/,"288,091","249,116",00:01:12,"224,518",75.83%,70.44%,US$0.00
/apps/app_window,"282,614","194,845",00:03:32,"113,518",62.98%,45.31%,US$0.00
/devtools/docs/settings,"277,306","229,113",00:02:01,"152,385",74.77%,60.76%,US$0.00
/docs/devtools/evaluate-performance/,"276,289","241,595",00:03:08,"196,948",77.75%,69.35%,US$0.00
/apps/fileSystem,"272,448","229,150",00:03:24,"167,743",67.91%,56.15%,US$0.00
/devtools/docs/timeline,"271,132","231,797",00:03:27,"168,024",74.66%,65.54%,US$0.00
/apps/manifest/kiosk_enabled,"264,443","221,494",00:03:18,"205,326",79.51%,74.12%,US$0.00
/extensions/packaging,"264,419","215,310",00:03:02,"120,249",63.81%,50.88%,US$0.00
/docs/extensions/mv3/messaging/,"262,506","185,343",00:03:51,"89,186",61.28%,39.29%,US$0.00
/docs/webstore/publish/,"260,346","206,982",00:01:51,"142,537",49.49%,41.81%,US$0.00
/extensions/permissions,"258,947","223,766",00:02:12,"113,819",62.13%,41.88%,US$0.00
/native-client/devguide/tutorial/tutorial-part1,"256,583","211,442",00:02:11,"61,394",61.82%,40.05%,US$0.00
/devsummit/schedule/,"253,346","171,281",00:01:19,"56,259",54.20%,41.44%,US$0.00
/devtools/docs/debugger-protocol,"250,293","196,301",00:01:59,"117,739",63.26%,49.89%,US$0.00
/apps/browser,"249,405","215,696",00:01:40,"185,214",81.45%,70.91%,US$0.00
/multidevice/ios/links,"248,972","198,285",00:01:33,"103,954",82.68%,56.66%,US$0.00
/apps/about_apps.html,"248,199","192,822",00:01:43,"137,482",54.19%,42.65%,US$0.00
/apps/tags/webview,"244,308","194,765",00:03:51,"129,878",73.45%,57.85%,US$0.00
/docs/webstore/register/,"243,623","190,108",00:01:41,"114,104",48.95%,45.49%,US$0.00
/apps/runtime,"243,582","183,638",00:03:43,"89,007",55.31%,39.02%,US$0.00
/extensions/i18n,"237,267","188,127",00:02:48,"104,048",72.04%,49.35%,US$0.00
/extensions/api_other,"235,111","194,764",00:01:28,"59,605",59.40%,32.03%,US$0.00
/docs/devtools/console/javascript/,"232,241","204,692",00:02:23,"164,381",79.06%,67.42%,US$0.00
/docs/extensions/reference/webRequest/,"231,791","171,986",00:04:27,"119,978",68.52%,52.97%,US$0.00
/multidevice/webview/pixelperfect,"231,535","207,233",00:02:47,"132,836",85.58%,68.35%,US$0.00
/apps/arc_playservices,"231,185","188,784",00:02:06,"86,355",62.99%,51.39%,US$0.00
/webstore/money,"231,174","196,658",00:01:24,"81,433",61.59%,41.02%,US$0.00
/extensions/permission_warnings,"230,168","193,311",00:02:07,"91,704",67.88%,43.08%,US$0.00
/docs/extensions/mv2/getstarted/,"224,498","167,097",00:03:10,"124,466",60.26%,46.02%,US$0.00
/apps/angular_framework,"224,016","200,625",00:03:54,"159,306",84.38%,73.87%,US$0.00
/extensions/manifest/icons,"222,468","192,650",00:03:24,"127,960",55.72%,46.11%,US$0.00
/apps/app_storage,"219,460","182,173",00:02:52,"83,266",60.50%,46.18%,US$0.00
/extensions/autoupdate,"218,539","188,140",00:02:55,"132,508",77.87%,63.97%,US$0.00
/docs/devtools/sources/,"215,541","196,406",00:01:17,"195,676",77.47%,75.32%,US$0.00
/docs/devtools/dom/,"215,019","175,501",00:03:18,"76,851",75.57%,51.15%,US$0.00
/extensions/api_index.html,"214,871","128,935",00:00:51,"43,806",26.51%,13.63%,US$0.00
/apps/app_architecture,"211,791","181,033",00:01:39,"28,662",57.95%,23.93%,US$0.00
/devtools/docs/mobile-emulation,"211,056","176,577",00:03:18,"155,100",82.33%,75.10%,US$0.00
/devtools/docs/commandline-api,"210,387","187,507",00:02:25,"113,620",80.00%,62.74%,US$0.00
/docs/extensions/mv3/intro/mv3-overview/,"209,185","151,819",00:01:24,"18,865",47.18%,15.72%,US$0.00
/docs/devtools/storage/websql/,"208,809","191,723",00:02:24,"170,221",80.11%,75.17%,US$0.00
/docs/devtools/command-menu/,"207,079","173,911",00:01:44,"28,124",71.48%,45.36%,US$0.00
/extensions/webNavigation,"207,051","152,048",00:03:41,"73,876",61.02%,39.51%,US$0.00
/extensions/events,"207,027","164,807",00:02:41,"54,416",57.60%,30.61%,US$0.00
/extensions/tabs.html,"206,735","141,168",00:03:27,"77,907",65.13%,41.65%,US$0.00
/devsummit/faqs/,"206,725","82,143",00:00:36,"14,644",30.59%,17.33%,US$0.00
/docs/devtools/console/,"199,475","173,664",00:01:57,"99,954",71.62%,52.17%,US$0.00
/webstore/payments-iap,"199,005","158,726",00:01:36,"33,921",71.25%,43.80%,US$0.00
/docs/android/custom-tabs/,"197,531","161,095",00:01:57,"148,038",69.26%,65.05%,US$0.00
/webstore/branding,"196,564","150,049",00:01:21,"65,956",64.31%,45.93%,US$0.00
/native-client/overview,"196,090","162,677",00:02:11,"63,319",59.68%,39.44%,US$0.00
/apps/themes,"195,169","170,907",00:02:00,"166,562",85.27%,83.27%,US$0.00
/docs/extensions/reference/browserAction/,"195,140","146,561",00:02:57,"83,932",61.70%,40.84%,US$0.00
/extensions/commands,"195,039","166,898",00:03:03,"93,587",78.65%,51.34%,US$0.00
/devtools/docs/cpu-profiling,"194,051","175,087",00:03:03,"136,374",78.72%,69.90%,US$0.00
/extensions/a11y,"193,495","148,663",00:01:08,"26,160",76.95%,31.69%,US$0.00
/apps/app_external,"191,577","162,216",00:03:27,"94,914",73.40%,55.30%,US$0.00
/extensions/declarativeContent,"191,110","131,834",00:03:33,"39,738",43.78%,24.23%,US$0.00
/extensions/notifications,"188,817","148,494",00:03:07,"88,250",70.99%,51.42%,US$0.00
/devtools/docs/rendering-settings,"187,390","162,064",00:03:30,"154,430",84.55%,82.32%,US$0.00
/webstore/overview,"185,951","149,251",00:01:22,"16,518",54.20%,30.90%,US$0.00
/docs/devtools/javascript/breakpoints/,"184,846","166,372",00:03:47,"127,077",84.79%,75.20%,US$0.00
/blog/insider-april-2022/,"184,740","163,736",00:01:37,"149,395",90.18%,83.25%,US$0.00
/blog/chrome-50-deprecations/,"184,667","166,005",00:02:34,"165,857",89.73%,87.98%,US$0.00
/extensions/manifestVersion,"184,534","159,316",00:03:12,"98,733",63.64%,49.67%,US$0.00
/extensions/debugger,"184,328","151,165",00:02:30,"81,426",69.39%,50.00%,US$0.00
/apps/offline_apps,"183,480","155,486",00:01:27,"60,396",73.54%,40.38%,US$0.00
/devsummit/schedule,"182,206","84,111",00:01:14,"53,956",44.19%,34.23%,US$0.00
/apps/declare_permissions,"181,369","138,839",00:01:49,"47,576",54.81%,30.00%,US$0.00
/devtools/docs/heap-profiling,"181,066","166,149",00:03:19,"131,438",75.37%,70.40%,US$0.00
/devtools/docs/css-preprocessors,"180,971","165,610",00:03:30,"143,165",89.08%,81.00%,US$0.00
/native-client/devguide/distributing,"179,010","152,397",00:01:31,"71,436",50.73%,36.85%,US$0.00
/extensions/single_purpose,"176,435","147,848",00:01:23,"32,787",65.30%,32.89%,US$0.00
/devtools/docs/integrating,"174,157","147,313",00:01:07,"80,119",52.88%,38.23%,US$0.00
/apps/manifest/icons,"174,079","151,394",00:04:47,"112,170",67.74%,58.69%,US$0.00
/webstore/images,"173,866","137,447",00:03:16,"85,605",68.48%,55.05%,US$0.00
/extensions/desktopCapture,"172,683","145,687",00:02:51,"95,366",75.06%,55.81%,US$0.00
/extensions/user_interface,"171,681","126,780",00:02:54,"36,165",62.86%,28.48%,US$0.00
/devtools/docs/elements-styles,"170,448","161,054",00:03:38,"149,763",87.82%,85.94%,US$0.00
/extensions/desktop_notifications,"170,068","135,675",00:02:25,"73,034",56.68%,44.07%,US$0.00
/extensions/devtools_network,"169,331","122,978",00:02:34,"70,740",61.55%,41.96%,US$0.00
/docs/devtools/storage/sessionstorage/,"167,312","155,937",00:02:45,"139,559",87.26%,81.44%,US$0.00
/apps/contentSecurityPolicy,"166,735","145,344",00:02:06,"62,891",64.11%,43.25%,US$0.00
/extensions/content_scripts.html,"165,580","121,088",00:03:41,"68,815",62.83%,43.76%,US$0.00
/extensions/tut_oauth,"165,382","142,350",00:03:21,"87,561",77.18%,58.60%,US$0.00
/docs/webstore/about_webstore/,"162,702","126,908",00:00:49,"6,199",64.56%,37.49%,US$0.00
/apps/serial,"162,629","130,069",00:02:59,"98,946",62.30%,53.81%,US$0.00
/docs/extensions/reference/scripting/,"162,035","111,754",00:04:07,"45,777",55.78%,34.76%,US$0.00
/extensions/management,"161,742","130,648",00:03:06,"83,298",68.07%,51.76%,US$0.00
/apps/app_codelab_intro,"161,694","129,875",00:01:02,"19,110",43.84%,21.35%,US$0.00
/extensions/browserAction.html,"160,488","116,965",00:02:11,"30,628",53.97%,26.46%,US$0.00
/blog/enabling-shared-array-buffer/,"160,188","137,195",00:04:42,"134,598",86.68%,83.79%,US$0.00
/docs/devtools/speed/get-started/,"158,544","133,696",00:02:28,"66,282",79.45%,58.29%,US$0.00
/apps/identity,"158,219","126,987",00:03:27,"79,359",61.97%,50.07%,US$0.00
/extensions/manifest.html,"157,380","111,215",00:01:36,"58,138",47.84%,29.65%,US$0.00
/apps/app_lifecycle,"156,116","130,371",00:01:57,"19,894",57.71%,25.14%,US$0.00
/extensions/enterprise_platformKeys,"156,028","112,865",00:01:21,"102,780",55.92%,52.48%,US$0.00
/docs/extensions/mv3/,"155,639","121,489",00:00:52,"21,675",50.47%,18.93%,US$0.00
/blog/new-in-devtools-88/,"155,115","123,441",00:02:01,"113,228",84.01%,72.81%,US$0.00
/docs/devtools/storage/indexeddb/,"154,112","140,652",00:02:53,"118,799",82.20%,76.37%,US$0.00
/extensions/manifest/web_accessible_resources,"152,907","126,114",00:03:57,"69,772",64.71%,49.53%,US$0.00
/docs/devtools/progressive-web-apps/,"152,067","138,004",00:02:47,"109,278",81.42%,72.93%,US$0.00
/docs/extensions/reference/extension/,"151,731","125,504",00:01:59,"88,198",61.93%,49.49%,US$0.00
/apps/messaging,"150,324","115,059",00:04:49,"70,454",62.81%,48.20%,US$0.00
/apps/app_network,"149,833","126,809",00:02:23,"61,994",66.84%,46.75%,US$0.00
/docs/extensions/mv3/overview/,"148,670","118,046",00:02:14,"27,442",49.87%,27.86%,US$0.00
/webstore/apps_vs_extensions,"146,206","133,642",00:03:26,"111,587",81.17%,74.19%,US$0.00
/apps/app_codelab_webview,"145,923","134,040",00:03:06,"102,052",84.10%,70.89%,US$0.00
/docs/extensions/mv3/declare_permissions/,"144,799","111,097",00:02:11,"57,161",44.29%,30.00%,US$0.00
/apps/xhr,"144,297","133,844",00:05:21,"120,601",86.57%,82.79%,US$0.00
/docs/extensions/reference/cookies/,"143,984","113,547",00:04:08,"93,976",76.34%,64.20%,US$0.00
/extensions/settings_override,"143,690","122,984",00:02:10,"98,722",70.88%,60.35%,US$0.00
/devtools/docs/blackboxing,"142,771","132,534",00:05:13,"126,951",91.05%,89.33%,US$0.00
/docs/extensions/reference/windows/,"142,208","100,209",00:03:48,"58,128",64.35%,44.21%,US$0.00
/docs/extensions/reference/proxy/,"141,311","118,284",00:02:43,"105,493",82.75%,72.63%,US$0.00
/apps/publish_app,"140,809","117,445",00:00:42,"12,821",32.74%,18.34%,US$0.00
/docs/extensions/mv3/devguide/,"139,283","105,282",00:01:09,"23,865",40.00%,17.29%,US$0.00
/docs/extensions/reference/experimental/,"139,016","94,502",00:01:56,"92,226",66.28%,60.48%,US$0.00
/docs/extensions/reference/history/,"138,451","116,146",00:02:19,"105,341",80.75%,72.72%,US$0.00
/extensions/tut_analytics,"138,086","120,108",00:03:20,"89,295",79.23%,66.77%,US$0.00
/webstore/about_webstore,"137,801","111,481",00:00:50,"26,446",69.44%,37.61%,US$0.00
/docs/devtools/console/log/,"137,784","120,305",00:02:25,"81,996",77.26%,60.41%,US$0.00
/docs/devtools/panels/sources/,"137,582","126,574",00:01:07,"126,400",76.11%,74.62%,US$0.00
/apps/app_codelab_basics,"137,254","115,747",00:03:09,"47,340",67.24%,42.58%,US$0.00
/blog/new-in-devtools-65/,"137,051","119,091",00:03:57,"99,877",83.31%,76.98%,US$0.00
/devtools/docs/authoring-development-workflow,"134,711","118,310",00:02:10,"45,750",75.37%,49.05%,US$0.00
/extensions/overview.html,"133,390","104,243",00:02:15,"29,475",52.89%,28.63%,US$0.00
/webstore/i18n,"132,614","111,743",00:02:54,"81,891",79.18%,65.65%,US$0.00
/native-client/sdk/release-notes,"131,833","116,857",00:01:43,"93,578",77.70%,68.12%,US$0.00
/extensions/experimental,"131,540","107,864",00:01:47,"56,835",70.91%,47.93%,US$0.00
/apps/usb,"131,525","106,948",00:02:38,"66,047",65.83%,53.85%,US$0.00
/docs/apps/,"131,123","98,969",00:00:36,"5,210",55.54%,16.25%,US$0.00
/docs/extensions/reference/action/,"130,633","94,630",00:03:42,"26,161",48.41%,28.87%,US$0.00
/docs/multidevice/user-agent/,"130,377","115,061",00:03:05,"106,659",85.71%,80.32%,US$0.00
/home/devtools-pillar,"129,632","113,125",00:01:15,"55,125",76.52%,52.38%,US$0.00
